[2026-02-28--19-25-00 INFO actix_server::builder] starting 5 workers
[2026-02-28--19-25-00 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-02-28--19-25-00 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-02-28--19-25-01 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-02-28--19-33-55 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60862.
[2026-02-28--19-33-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42126.
[2026-02-28--19-33-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42136.
[2026-02-28--19-33-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42152.
[2026-02-28--19-34-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42158.
[2026-02-28--19-34-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42166.
[2026-02-28--19-34-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42174.
[2026-02-28--19-34-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42182.
[2026-02-28--19-34-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42198.
[2026-02-28--19-34-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40560.
[2026-02-28--19-34-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40562.
[2026-02-28--19-34-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40574.
[2026-02-28--19-34-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40582.
[2026-02-28--19-34-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40584.
[2026-02-28--19-34-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40596.
[2026-02-28--19-34-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53222.
[2026-02-28--19-34-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53226.
[2026-02-28--19-34-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53232.
[2026-02-28--19-34-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53234.
[2026-02-28--19-34-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53240.
[2026-02-28--19-34-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53254.
[2026-02-28--19-34-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53260.
[2026-02-28--19-34-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53262.
[2026-02-28--19-34-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53270.
[2026-02-28--19-34-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53284.
[2026-02-28--19-34-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59970.
[2026-02-28--19-34-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59984.
[2026-02-28--19-34-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59986.
[2026-02-28--19-34-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35782.
[2026-02-28--19-34-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35788.
[2026-02-28--19-34-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35800.
[2026-02-28--19-36-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60400.
[2026-02-28--19-36-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60416.
[2026-02-28--19-36-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50946.
[2026-02-28--19-36-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50962.
[2026-02-28--19-37-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47192.
[2026-02-28--19-37-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47200.
[2026-02-28--19-37-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47208.
[2026-02-28--19-37-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47222.
[2026-02-28--19-37-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47224.
[2026-02-28--19-37-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47226.
[2026-02-28--19-37-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47230.
[2026-02-28--19-37-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47238.
[2026-02-28--19-37-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54786.
[2026-02-28--19-37-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54792.
[2026-02-28--19-37-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54794.
[2026-02-28--19-37-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54802.
[2026-02-28--19-37-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54812.
[2026-02-28--19-37-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54826.
[2026-02-28--19-37-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54838.
[2026-02-28--19-37-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42860.
[2026-02-28--19-37-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42876.
[2026-02-28--19-37-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42890.
[2026-02-28--19-37-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42892.
[2026-02-28--19-37-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42906.
[2026-02-28--19-37-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42908.
[2026-02-28--19-37-35 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42918.
[2026-02-28--19-37-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57900.
[2026-02-28--19-37-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57910.
[2026-02-28--19-37-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57916.
[2026-02-28--19-37-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40998.
[2026-02-28--19-37-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41008.
[2026-02-28--19-37-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41014.
[2026-02-28--19-40-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60064.
[2026-02-28--19-40-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60070.
[2026-02-28--19-40-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60080.
[2026-02-28--19-40-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48180.
[2026-02-28--19-40-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48192.
[2026-02-28--19-40-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48196.
[2026-02-28--19-40-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48202.
[2026-02-28--19-40-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48210.
[2026-02-28--19-40-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48220.
[2026-02-28--19-40-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37840.
[2026-02-28--19-40-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37850.
[2026-02-28--19-40-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44204.
[2026-02-28--19-41-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44214.
[2026-02-28--19-41-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44220.
[2026-02-28--19-41-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37182.
[2026-02-28--19-44-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54670.
[2026-02-28--19-44-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54680.
[2026-02-28--19-44-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54686.
[2026-02-28--19-45-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57542.
[2026-02-28--19-45-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45266.
[2026-02-28--19-45-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45268.
[2026-02-28--19-45-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52622.
[2026-02-28--19-45-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52638.
[2026-02-28--19-45-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52652.
[2026-02-28--19-45-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52660.
[2026-02-28--19-45-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52668.
[2026-02-28--19-45-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52670.
[2026-02-28--19-45-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52672.
[2026-02-28--19-45-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51756.
[2026-02-28--19-45-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51760.
[2026-02-28--19-45-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51776.
[2026-02-28--19-45-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36138.
[2026-02-28--19-45-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36144.
[2026-02-28--19-45-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36146.
[2026-02-28--19-45-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36150.
[2026-02-28--19-45-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36156.
